ID,NETWORK,DAYS_AFTER_LAST_WATCH,DAYS_AFTER_FIRST_WATCH,NUM_SESSIONS,UNIQUE_GENRES_WATCHED,UNIQUE_PROGRAMS_WATCHED,MEAN_DURATION_MINUTES,SUM_DURATION_MINUTES,SUM_AD_REVENUE
000AUEW012,DarkMatter,147,147,2,1,1,36.3,72.6,0.3
000CLSM229,Adrenaline,170,170,2,1,1,49.7,99.4,0.41
000CXDK015,PopCulture Now,136,139,4,1,2,18.15,72.6,0.3
000CXDK015,TasteMakers,135,135,2,1,1,41.3,82.6,0.34
000DTPC747,LimeLight,166,166,1,1,1,41.0,41.0,0.17
000EFUI271,LimeLight,97,97,2,1,1,75.7,151.4,0.63
000ENIY291,RetroReel,147,147,2,1,1,32.6,65.2,0.27
000EXRF680,DesignLab,170,170,2,1,1,51.4,102.8,0.43
000GTIY258,Pulse,174,174,2,1,1,75.8,151.6,0.63
000IBLG765,Adrenaline,42,42,2,1,1,26.6,53.2,0.22
000KEZL712,DarkMatter,66,66,1,1,1,95.4,95.4,0.4
000KGEM860,RetroReel,109,109,2,1,1,39.5,79.0,0.33
000KXBG202,PopCulture Now,60,60,2,1,1,30.8,61.6,0.26
000KXBG202,TasteMakers,16,16,1,1,1,12.3,12.3,0.05
000LPBE125,PopCulture Now,45,45,2,1,1,17.6,35.2,0.15
000LZCB553,RetroReel,129,129,2,1,1,25.9,51.8,0.22
000PHYQ613,Adrenaline,81,98,3,1,2,27.8,83.4,0.35
000RCRI318,RetroReel,117,117,1,1,1,39.4,39.4,0.16
000RJCH773,Adrenaline,102,102,2,1,1,84.2,168.4,0.7
000SDWN043,DesignLab,130,130,2,1,1,71.5,143.0,0.6
000SJSR665,Pulse,125,125,1,1,1,96.9,96.9,0.4
000SKUY871,PopCulture Now,59,59,1,1,1,23.4,23.4,0.1
000SKUY871,TasteMakers,123,123,1,1,1,18.5,18.5,0.08
000TOJT688,ChillStream,80,80,1,1,1,6.6,6.6,0.03
000TOJT688,LimeLight,83,83,1,1,1,39.5,39.5,0.16
000TOJT688,Pulse,132,132,2,1,1,84.1,168.2,0.7
000TQOV267,Adrenaline,149,149,2,1,1,128.3,256.6,1.07
000TXEC968,RetroReel,164,164,2,1,1,28.3,56.6,0.24
000UCAC008,CineQuest,13,13,2,1,1,66.8,133.6,0.56
000UJBA972,RetroReel,7,7,2,1,1,50.1,100.2,0.42
000ULLT010,RetroReel,120,120,1,1,1,95.3,95.3,0.4
000UPJQ162,RetroReel,154,154,1,1,1,9.5,9.5,0.04
000UQTO352,LimeLight,124,124,2,1,1,80.8,161.6,0.67
000UTKY023,Pulse,150,150,2,1,1,33.1,66.2,0.28
000UTYS739,PopCulture Now,160,160,1,1,1,53.8,53.8,0.22
000UTYS739,TasteMakers,98,98,2,1,1,78.9,157.8,0.66
000VJAK195,DesignLab,93,93,1,1,1,32.0,32.0,0.13
000VJAK195,TasteMakers,49,49,2,1,1,38.1,76.2,0.32
000VLET636,RetroReel,97,97,2,1,1,116.3,232.6,0.97
000WKTX518,TasteMakers,20,141,4,1,2,57.4,229.6,0.96
000XOEM996,Adrenaline,38,38,1,1,1,124.7,124.7,0.52
000XORN373,ChillStream,34,34,2,1,1,124.9,249.8,1.04
000XYZK575,Adrenaline,31,31,1,1,1,91.2,91.2,0.38
000XYZK575,DarkMatter,25,25,2,1,1,116.5,233.0,0.97
000XYZK575,Pulse,149,149,1,1,1,28.7,28.7,0.12
000YBDY680,Pulse,29,29,2,1,1,18.4,36.8,0.15
000YDXA553,TasteMakers,78,78,2,1,1,62.8,125.6,0.52
000YWTK044,Pulse,10,72,2,2,2,81.9,163.8,0.68
000ZBDO909,LimeLight,58,66,2,1,2,75.95,151.9,0.63
001ARPK279,ChillStream,37,37,2,1,1,11.6,23.2,0.1
001AVSB880,DesignLab,62,62,2,1,1,23.4,46.8,0.19
001AVSB880,PopCulture Now,19,19,1,1,1,13.2,13.2,0.06
001AVSB880,TasteMakers,174,174,2,1,1,32.0,64.0,0.27
001AZMW145,DarkMatter,81,81,1,1,1,27.9,27.9,0.12
001BQUT830,ChillStream,164,164,2,1,1,8.6,17.2,0.07
001DLTR482,CineQuest,38,141,2,1,2,68.3,136.6,0.57
001EHMV802,DesignLab,21,21,2,1,1,25.2,50.4,0.21
001FRCO413,Adrenaline,50,50,1,1,1,13.1,13.1,0.05
001FSQJ082,ChillStream,136,136,2,1,1,114.8,229.6,0.96
001GBJC687,DesignLab,141,141,1,1,1,46.5,46.5,0.19
001GBJC687,LimeLight,72,72,2,1,1,76.5,153.0,0.64
001GBJC687,PopCulture Now,30,30,1,1,1,35.5,35.5,0.15
001JYOY737,LimeLight,46,55,4,2,2,66.85,267.4,1.11
001LMOF553,TasteMakers,54,54,2,1,1,79.1,158.2,0.66
001LPDP619,Adrenaline,131,131,2,1,1,94.7,189.4,0.79
001LPDP619,DarkMatter,133,133,1,1,1,114.0,114.0,0.48
001MIEQ655,DesignLab,117,117,2,1,1,51.8,103.6,0.43
001MJIH685,DarkMatter,132,132,2,1,1,117.4,234.8,0.98
001MRIW631,DesignLab,172,172,2,1,1,49.8,99.6,0.42
001MRIW631,PopCulture Now,66,66,2,1,1,67.8,135.6,0.56
001NKRX135,Pulse,125,125,2,1,1,110.4,220.8,0.92
001NOKZ662,CineQuest,29,29,2,1,1,97.9,195.8,0.82
001NSIA232,DesignLab,154,154,1,1,1,75.8,75.8,0.32
001NSIA232,PopCulture Now,118,118,2,1,1,29.2,58.4,0.24
001NSIA232,TasteMakers,163,163,2,1,1,102.2,204.4,0.85
001NUQI691,ChillStream,72,72,2,1,1,82.1,164.2,0.68
